--- ĐIỂM TRUNG BÌNH THEO THỂ LOẠI PHIM ---
Genre: Sci-Fi          | AvgRating: 3.73 | Total Ratings: 54
Genre: Horror          | AvgRating: 4.00 | Total Ratings: 2
Genre: Family          | AvgRating: 3.67 | Total Ratings: 18
Genre: Thriller        | AvgRating: 3.70 | Total Ratings: 27
Genre: Drama           | AvgRating: 3.76 | Total Ratings: 128
Genre: Action          | AvgRating: 3.71 | Total Ratings: 54
Genre: Adventure       | AvgRating: 3.63 | Total Ratings: 83
Genre: Film-Noir       | AvgRating: 4.36 | Total Ratings: 7
Genre: Crime           | AvgRating: 3.81 | Total Ratings: 42
Genre: Biography       | AvgRating: 3.56 | Total Ratings: 25
Genre: Mystery         | AvgRating: 4.00 | Total Ratings: 2
Genre: Fantasy         | AvgRating: 3.86 | Total Ratings: 29
